  No-Break Space
¡ Inverted Exclamation Mark
¢ Cent Sign
£ Pound Sign
¤ Currency Sign
¥ Yen Sign
¦ Broken Bar
§ Section Sign
¨ Diaeresis
¬ Not Sign
¯ Macron
° Degree Sign
± Plus-Minus Sign
² Superscript Two
³ Superscript Three
´ Acute Accent
µ Micro Sign
¶ Pilcrow Sign
· Middle Dot
¹ Superscript One
¼ Vulgar Fraction One Quarter
½ Vulgar Fraction One Half
¾ Vulgar Fraction Three Quarters
¿ Inverted Question Mark
× Multiplication Sign
÷ Division Sign
ˆ Modifier Letter Circumflex Accent
ˇ Caron
˘ Breve
˙ Dot Above
˚ Ring Above
˜ Small Tilde
̀ Combining Grave Accent
́ Combining Acute Accent
̂ Combining Circumflex Accent
̃ Combining Tilde
̄ Combining Macron
̅ Combining Overline
̆ Combining Breve
̇ Combining Dot Above
̈ Combining Diaeresis
̊ Combining Ring Above
̌ Combining Caron
̑ Combining Inverted Breve
̣ Combining Dot Below
̬ Combining Caron Below
̭ Combining Circumflex Accent Below
̮ Combining Breve Below
̯ Combining Inverted Breve Below
̰ Combining Tilde Below
̱ Combining Macron Below
̲ Combining Low Line
̳ Combining Double Low Line
̸ Combining Long Solidus Overlay
̺ Combining Inverted Bridge Below
̿ Combining Double Overline
͆ Combining Bridge Above
Α Greek Capital Letter Alpha
Β Greek Capital Letter Beta
Γ Greek Capital Letter Gamma
Δ Greek Capital Letter Delta
Ε Greek Capital Letter Epsilon
Ζ Greek Capital Letter Zeta
Η Greek Capital Letter Eta
Θ Greek Capital Letter Theta
Ι Greek Capital Letter Iota
Κ Greek Capital Letter Kappa
Λ Greek Capital Letter Lamda
Μ Greek Capital Letter Mu
Ν Greek Capital Letter Nu
Ξ Greek Capital Letter Xi
Ο Greek Capital Letter Omicron
Π Greek Capital Letter Pi
Ρ Greek Capital Letter Rho
Σ Greek Capital Letter Sigma
Τ Greek Capital Letter Tau
Φ Greek Capital Letter Phi
Χ Greek Capital Letter Chi
Ψ Greek Capital Letter Psi
Ω Greek Capital Letter Omega
α Greek Small Letter Alpha
β Greek Small Letter Beta
γ Greek Small Letter Gamma
δ Greek Small Letter Delta
ε Greek Small Letter Epsilon
ζ Greek Small Letter Zeta
η Greek Small Letter Eta
θ Greek Small Letter Theta
ι Greek Small Letter Iota
κ Greek Small Letter Kappa
λ Greek Small Letter Lamda
μ Greek Small Letter Mu
ν Greek Small Letter Nu
ξ Greek Small Letter Xi
ο Greek Small Letter Omicron
π Greek Small Letter Pi
ρ Greek Small Letter Rho
σ Greek Small Letter Sigma
τ Greek Small Letter Tau
υ Greek Small Letter Upsilon
φ Greek Small Letter Phi
χ Greek Small Letter Chi
ψ Greek Small Letter Psi
ω Greek Small Letter Omega
ϐ Greek Beta Symbol
ϑ Greek Theta Symbol
ϒ Greek Upsilon With Hook Symbol
ϕ Greek Phi Symbol
ϖ Greek Pi Symbol
Ϙ Greek Letter Archaic Koppa
ϙ Greek Small Letter Archaic Koppa
Ϛ Greek Letter Stigma
ϛ Greek Small Letter Stigma
Ϝ Greek Letter Digamma
ϝ Greek Small Letter Digamma
Ϡ Greek Letter Sampi
ϡ Greek Small Letter Sampi
ϰ Greek Kappa Symbol
ϱ Greek Rho Symbol
ϴ Greek Capital Theta Symbol
ϵ Greek Lunate Epsilon Symbol
϶ Greek Reversed Lunate Epsilon Symbol
Ш Cyrillic Capital Letter Sha
  En Quad
  Em Quad
  En Space
  Em Space
  Three-Per-Em Space
  Four-Per-Em Space
  Six-Per-Em Space
  Figure Space
  Thin Space
  Hair Space
​ Zero Width Space
‐ Hyphen
‒ Figure Dash
– En Dash
— Em Dash
‖ Double Vertical Line
† Dagger
‡ Double Dagger
• Bullet
… Horizontal Ellipsis
′ Prime
″ Double Prime
‴ Triple Prime
‵ Reversed Prime
‶ Reversed Double Prime
‷ Reversed Triple Prime
※ Reference Mark
‼ Double Exclamation Mark
⁀ Character Tie
⁄ Fraction Slash
⁎ Low Asterisk
⁏ Reversed Semicolon
⁐ Close Up
⁑ Two Asterisks Aligned Vertically
⁒ Commercial Minus Sign
⁗ Quadruple Prime
  Medium Mathematical Space
⁡ Function Application
⁢ Invisible Times
⁣ Invisible Separator
⁤ Invisible Plus
⁺ Superscript Plus Sign
⁻ Superscript Minus
⁼ Superscript Equals Sign
⁽ Superscript Left Parenthesis
⁾ Superscript Right Parenthesis
₊ Subscript Plus Sign
₋ Subscript Minus
₌ Subscript Equals Sign
₍ Subscript Left Parenthesis
₎ Subscript Right Parenthesis
⃐ Combining Left Harpoon Above
⃑ Combining Right Harpoon Above
⃒ Combining Long Vertical Line Overlay
⃓ Combining Short Vertical Line Overlay
⃔ Combining Anticlockwise Arrow Above
⃕ Combining Clockwise Arrow Above
⃖ Combining Left Arrow Above
⃗ Combining Right Arrow Above
⃘ Combining Ring Overlay
